rank,word,total,length
535,action,86253,6
536,carry,85616,5
537,data,84962,4
538,space,84842,5
539,building,84757,8
540,activity,84618,8
541,oil,84563,3
542,site,83657,4
543,soon,83045,4
544,special,83012,7
545,agree,82866,5
546,especially,82791,10
547,god,82754,3
548,security,82572,8
549,rule,82435,4
550,plant,82194,5
551,produce,82186,7
552,picture,82168,7
553,instead,82142,7
554,event,81845,5
555,phone,81811,5
556,rest,81786,4
557,everyone,81623,8
558,paper,81485,5
559,likely,81441,6
560,bit,81366,3
561,attack,81309,6
562,vote,81159,4
563,catch,80923,5
564,west,80822,4
565,charge,80567,6
566,whose,80427,5
567,image,79576,5
568,eat,79512,3
569,teach,78952,5
570,subject,78925,7
571,claim,78798,5
572,measure,78747,7
573,press,78554,5
574,situation,78477,9
575,rise,77982,4
576,industry,77741,8
577,above,77003,5
578,type,76888,4
579,describe,76859,8
580,risk,76793,4
581,near,76734,4
582,recent,76624,6
583,middle,76544,6
584,hair,76257,4
585,itself,76255,6
586,standard,76240,8
587,piece,76228,5
588,technology,76192,10
589,worker,76019,6
590,film,75897,4
591,park,75762,4
592,product,75627,7
593,doctor,75621,6
594,smile,75621,5
595,quite,75276,5
596,green,75203,5
597,race,74972,4
598,drop,74966,4
599,campaign,74897,8
600,movie,74861,5
601,visit,74506,5
602,white,74292,5
603,photograph,74050,10
604,short,73966,5
605,list,73671,4
606,wrong,73604,5
607,personal,73411,8
608,certain,73410,7
609,draw,73405,4
610,window,73215,6
611,baby,73173,4
612,department,73140,10
613,third,72864,5
614,organization,72753,12
615,single,72751,6
616,bank,72710,4
617,red,72558,3
618,evidence,72538,8
619,tree,72456,4
620,source,72341,6
621,culture,72196,7
622,store,72190,5
623,simply,71742,6
624,average,71500,7
625,computer,71358,8
626,listen,71038,6
627,energy,70935,6
628,pretty,70874,6
629,nearly,70781,6
630,check,70670,5
631,attention,70560,9
632,key,70526,3
633,behavior,70444,8
634,century,70434,7
635,condition,70263,9
636,dark,69903,4
637,benefit,69606,7
638,response,69548,8
639,private,69510,7
640,chance,69420,6
641,choose,69407,6
642,summer,69340,6
643,brother,69335,7
644,period,69181,6
645,concern,69148,7
646,population,68979,10
647,difficult,68874,9
648,fund,68634,4
649,wonder,68547,6
650,available,68535,9
651,term,68508,4
652,current,68458,7
653,trade,68389,5
654,congress,68159,8
655,judge,68108,5
656,administration,68066,14
657,board,67919,5
658,science,67811,7
659,opportunity,67784,11
660,floor,67670,5
661,realize,67516,7
662,deep,67506,4
663,challenge,67482,9
664,lie,67440,3
665,economy,67240,7
666,sport,67054,5
667,material,67020,8
668,page,66675,4
669,per,66668,3
670,throw,66327,5
671,billion,66119,7
672,range,66057,5
673,daughter,65877,8
674,push,65784,4
675,fear,65679,4
676,husband,65660,7
677,letter,65635,6
678,choice,65594,6
679,score,65437,5
680,pm,65428,2
681,author,65407,6
682,bed,65280,3
683,interview,65264,9
684,medical,65138,7
685,myself,65113,6
686,defense,65072,7
687,east,64887,4
688,performance,64841,11
689,goal,64791,4
690,address,64772,7
691,dead,64643,4
692,blue,64543,4
693,factor,64258,6
694,certainly,64199,9
695,common,64103,6
696,involve,64076,7
697,hospital,63935,8
698,officer,63862,7
699,significant,63691,11
700,anyone,63578,6
701,total,63425,5
702,represent,63269,9
703,nature,63226,6
704,seek,63168,4
705,complete,63163,8
706,fill,62953,4
707,alone,62474,5
708,county,62336,6
709,fine,62126,4
710,reduce,62024,6
711,coach,62023,5
712,foreign,61826,7
713,agency,61661,6
714,laugh,61312,5
715,left,61308,4
716,quickly,61148,7
717,upon,61063,4
718,cup,61009,3
719,movement,60998,8
720,language,60966,8
721,blood,60919,5
722,save,60908,4
723,recently,60615,8
724,account,60558,7
725,beyond,60465,6
726,stock,60427,5
727,thus,60363,4
728,feature,60257,7
729,natural,60246,7
730,shoot,59949,5
731,demand,59827,6
732,article,59688,7
733,hot,59616,3
734,particular,59616,10
735,analysis,59561,8
736,travel,59415,6
737,decade,59303,6
738,rock,59208,4
739,series,59086,6
740,staff,59068,5
741,attempt,58743,7
742,enter,58477,5
743,chief,58464,5
744,ready,58440,5
745,treatment,58332,9
746,ok,58290,2
747,cold,58269,4
748,amount,58182,6
749,dog,58127,3
750,identify,58123,8
751,poor,57962,4
752,artist,57960,6
753,similar,57942,7
754,exactly,57901,7
755,pressure,57638,8
756,size,57629,4
757,resource,57586,8
758,forward,57567,7
759,firm,57478,4
760,sort,57421,4
761,animal,57401,6
762,usually,57325,7
763,herself,57318,7
764,career,56996,6
765,sleep,56954,5
766,indicate,56872,8
767,happy,56831,5
768,final,56826,5
769,river,56742,5
770,dream,56680,5
771,ahead,56643,5
772,central,56615,7
773,physical,56611,8
774,seven,56577,5
775,guess,56241,5
